,Distance,Iteration
0,217.4661446952053,0
1,204.98488167599146,1
2,221.60038237672975,2
3,202.83066489807413,3
4,215.24833901697022,4
5,206.6115279503537,5
6,205.87637129789002,6
7,192.43124774454586,7
8,206.1389795729471,8
9,209.39675544072713,9
10,222.32816188959126,10
11,188.66251396188906,11
12,210.70549817147514,12
13,181.53961818907328,13
14,198.73726042895382,14
15,201.66905466021467,15
16,209.12614898825927,16
17,217.19203124272394,17
18,201.47937942583644,18
19,198.97607986141367,19
20,199.26216256965452,20
21,204.77062775634448,21
22,183.89673618633725,22
23,185.01099722938227,23
24,184.0358182388657,24
25,192.6175360706849,25
26,183.18733886813473,26
27,171.93908188796425,27
28,188.41501461483307,28
29,184.6461236823433,29
30,191.03719652768018,30
31,169.9170222420526,31
32,188.65872866289095,32
33,173.06064914823904,33
34,179.28302645725813,34
35,181.84624094203647,35
36,167.48200409230344,36
37,182.08482235306906,37
38,193.3420094309127,38
39,174.80725766025415,39
40,164.02961172474002,40
41,178.84584151149153,41
42,160.15561497910326,42
43,168.77617639193917,43
44,174.85801354270103,44
45,178.84943183700364,45
46,168.22206358583165,46
47,169.0313085775776,47
48,172.08656877264517,48
49,152.98544075666055,49
50,167.5211655160938,50
51,156.55708692526204,51
52,163.65196469815172,52
53,152.9854407566605,53
54,161.57905569252978,54
55,154.4451998094277,55
56,151.47669017166137,56
57,157.56681356233656,57
58,147.58791268810478,58
59,145.39804068642144,59
60,143.78320549355595,60
61,156.42887126236272,61
62,152.48921415400267,62
63,144.48418808668376,63
64,153.0573665165902,64
65,146.5911794278369,65
66,145.5325275499674,66
67,146.4304818065601,67
68,147.62362054797555,68
69,145.39804068642144,69
70,145.7226400615683,70
71,143.78320549355595,71
72,146.62357649316544,72
73,145.7226400615683,73
74,143.78320549355595,74
75,143.78320549355595,75
76,143.78320549355595,76
77,143.78320549355595,77
78,143.78320549355595,78
79,143.78320549355595,79
80,143.78320549355595,80
81,143.78320549355595,81
82,143.78320549355595,82
83,143.78320549355595,83
84,143.78320549355595,84
85,143.78320549355595,85
86,143.39804068642144,86
87,141.78320549355595,87
88,143.78320549355595,88
89,143.78320549355595,89
90,143.78320549355595,90
91,141.78320549355595,91
92,143.78320549355595,92
93,141.78320549355595,93
94,141.78320549355595,94
95,141.78320549355595,95
96,143.78320549355595,96
97,141.78320549355595,97
98,141.78320549355595,98
99,141.78320549355595,99
100,141.78320549355595,100
101,141.78320549355595,101
102,141.78320549355595,102
103,141.78320549355595,103
104,141.78320549355595,104
105,141.78320549355595,105
106,141.78320549355595,106
107,141.78320549355595,107
108,141.78320549355595,108
109,141.78320549355595,109
110,141.78320549355595,110
111,141.78320549355595,111
112,141.78320549355595,112
113,141.78320549355595,113
114,141.78320549355595,114
115,141.78320549355595,115
116,141.78320549355595,116
117,141.78320549355595,117
118,141.78320549355595,118
119,141.78320549355595,119
120,141.78320549355595,120
121,141.78320549355595,121
122,141.78320549355595,122
123,141.78320549355595,123
124,141.78320549355595,124
125,141.78320549355595,125
126,141.78320549355595,126
127,141.78320549355595,127
128,141.78320549355595,128
129,141.78320549355595,129
130,141.78320549355595,130
131,141.78320549355595,131
132,141.78320549355595,132
133,141.78320549355595,133
134,141.78320549355595,134
135,141.78320549355595,135
136,141.78320549355595,136
137,141.78320549355595,137
138,141.78320549355595,138
139,141.78320549355595,139
140,141.78320549355595,140
141,141.78320549355595,141
142,141.78320549355595,142
143,141.78320549355595,143
144,141.78320549355595,144
145,141.78320549355595,145
146,141.78320549355595,146
147,141.78320549355595,147
148,141.78320549355595,148
149,141.78320549355595,149
150,141.78320549355595,150
151,141.78320549355595,151
152,141.78320549355595,152
153,141.78320549355595,153
154,141.78320549355595,154
155,141.78320549355595,155
156,141.78320549355595,156
157,141.78320549355595,157
158,141.78320549355595,158
159,141.78320549355595,159
160,141.78320549355595,160
161,141.78320549355595,161
162,141.78320549355595,162
163,141.78320549355595,163
164,141.78320549355595,164
165,141.78320549355595,165
166,141.78320549355595,166
167,141.78320549355595,167
168,141.78320549355595,168
169,141.78320549355595,169
170,141.78320549355595,170
171,141.78320549355595,171
172,141.78320549355595,172
173,141.78320549355595,173
174,141.78320549355595,174
175,141.78320549355595,175
176,141.78320549355595,176
177,141.78320549355595,177
178,141.78320549355595,178
179,141.78320549355595,179
180,141.78320549355595,180
181,141.78320549355595,181
182,141.78320549355595,182
183,141.78320549355595,183
184,141.78320549355595,184
185,141.78320549355595,185
186,141.78320549355595,186
187,141.78320549355595,187
188,141.78320549355595,188
189,141.78320549355595,189
190,141.78320549355595,190
191,141.78320549355595,191
192,141.78320549355595,192
193,141.78320549355595,193
194,141.78320549355595,194
195,141.78320549355595,195
196,141.78320549355595,196
197,141.78320549355595,197
198,141.78320549355595,198
199,141.78320549355595,199
200,141.78320549355595,200
201,141.78320549355595,201
202,141.78320549355595,202
203,141.78320549355595,203
204,141.78320549355595,204
205,141.78320549355595,205
206,141.78320549355595,206
207,141.78320549355595,207
208,141.78320549355595,208
209,141.78320549355595,209
210,141.78320549355595,210
211,141.78320549355595,211
212,141.78320549355595,212
213,141.78320549355595,213
214,141.78320549355595,214
215,141.78320549355595,215
216,141.78320549355595,216
217,141.78320549355595,217
218,141.78320549355595,218
219,141.78320549355595,219
220,141.78320549355595,220
221,141.78320549355595,221
222,141.78320549355595,222
223,141.78320549355595,223
224,141.78320549355595,224
225,141.78320549355595,225
226,141.78320549355595,226
227,141.78320549355595,227
228,141.78320549355595,228
229,141.78320549355595,229
