,Distance,Iteration
0,500.4221360211049,0
1,499.7216007392656,1
2,504.62140662863885,2
3,508.9599473986203,3
4,489.30448156096355,4
5,508.2768714345608,5
6,505.0378423078415,6
7,502.6409362130294,7
8,513.2749174351696,8
9,509.761233984558,9
10,489.82898101830665,10
11,505.77391955615315,11
12,498.8262300851566,12
13,512.6682866497666,13
14,496.51636814534237,14
15,489.70128316665154,15
16,494.5185252836483,16
17,483.31782628564054,17
18,490.4318922244009,18
19,479.6265393303338,19
20,492.9096691131177,20
21,462.6392724333208,21
22,456.3099762740774,22
23,499.23351076847285,23
24,468.61524316042437,24
25,477.02634256346613,25
26,466.43801950365366,26
27,470.7432587866624,27
28,475.4361757408353,28
29,462.0667529231175,29
30,461.9810982480286,30
31,462.13559670729074,31
32,462.4154466832084,32
33,468.59135775816407,33
34,455.7534251462812,34
35,458.0567118165256,35
36,454.9660227914595,36
37,443.0493735225911,37
38,444.64577394851085,38
39,447.9209306533444,39
40,433.86464520046826,40
41,436.47233028054643,41
42,429.936739709844,42
43,413.75970228739715,43
44,430.36909544751086,44
45,421.0845113859536,45
46,424.9961652674046,46
47,414.11754959155905,47
48,421.30570571973993,48
49,412.8500052108872,49
50,409.2628947086858,50
51,414.02032457169423,51
52,409.2196626976549,52
53,388.19383283531494,53
54,380.7881237521247,54
55,406.6266082804925,55
56,398.7747715780683,56
57,391.2411644743097,57
58,389.63701405066627,58
59,383.44832451215933,59
60,377.9664044339431,60
61,383.35626007507074,61
62,391.36456354727716,62
63,393.6568718003841,63
64,389.84102688221304,64
65,374.17429425899184,65
66,374.2828123992977,66
67,357.73066249841236,67
68,363.44087002149627,68
69,370.0389133541074,69
70,359.976185443947,70
71,365.1273649256045,71
72,367.4701981405584,72
73,364.2230801917802,73
74,354.34035274350947,74
75,372.6788714700559,75
76,351.1037762051979,76
77,356.3601245262575,77
78,351.15461253373365,78
79,356.2278632793658,79
80,361.67011159978364,80
81,357.22768944930755,81
82,352.6864580761957,82
83,354.0521241048748,83
84,344.21427017532307,84
85,338.0772082488197,85
86,349.3370681697475,86
87,350.80226324921057,87
88,341.3519438708372,88
89,336.24737030953645,89
90,323.091847250476,90
91,346.9591284945748,91
92,347.6075724805212,92
93,340.1360292907752,93
94,343.1871181118626,94
95,334.1172535038938,95
96,335.45618841574145,96
97,341.6995714486622,97
98,319.41071187624965,98
99,340.8527249717591,99
100,333.6852528833309,100
101,332.4080890796682,101
102,331.0586300209424,102
103,335.51588150872436,103
104,334.31953750124774,104
105,331.8773798277457,105
106,341.85322403187104,106
107,330.45345155857376,107
108,322.02576126255843,108
109,326.04752069885467,109
110,322.0876029153929,110
111,338.36890622281857,111
112,324.7122498926649,112
113,321.40967536482043,113
114,333.0986039191839,114
115,328.14807797941353,115
116,330.4597535175833,116
117,326.5444776038342,117
118,322.9478829997241,118
119,320.1589431368935,119
120,319.2538273372866,120
121,319.2538273372866,121
122,318.509884180867,122
123,317.62690351338296,123
124,319.3071266973232,124
125,316.44501785853043,125
126,316.65520175752994,126
127,319.80681421730804,127
128,316.60190239749335,128
129,318.54946713782516,129
130,316.44501785853043,130
131,316.0029442103849,131
132,317.73840205498215,132
133,317.73840205498215,133
134,314.9295925762259,134
135,314.9295925762259,135
136,316.44501785853043,136
137,314.77270803726293,137
138,316.60190239749335,138
139,317.05624098778077,139
140,314.77270803726293,140
141,314.77270803726293,141
142,314.77270803726293,142
143,314.77270803726293,143
144,314.77270803726293,144
145,314.77270803726293,145
146,314.77270803726293,146
147,314.2120026655367,147
148,314.77270803726293,148
149,314.2120026655367,149
150,313.800938369797,150
151,314.77270803726293,151
152,313.800938369797,152
153,314.2120026655367,153
154,312.0486180211048,154
155,313.800938369797,155
156,313.800938369797,156
157,312.0486180211048,157
158,313.800938369797,158
159,312.0486180211048,159
160,312.0486180211048,160
161,312.0486180211048,161
162,312.0486180211048,162
163,312.0486180211048,163
164,312.0486180211048,164
165,312.0486180211048,165
166,312.0486180211048,166
167,312.0486180211048,167
168,312.0486180211048,168
169,312.0486180211048,169
170,312.0486180211048,170
171,312.0486180211048,171
172,312.0486180211048,172
173,312.0486180211048,173
174,311.82134456143154,174
175,312.0486180211048,175
176,311.97822910039457,176
177,311.82134456143154,177
178,311.82134456143154,178
179,311.82134456143154,179
180,311.02485615440236,180
181,311.82134456143154,181
182,311.82134456143154,182
183,311.82134456143154,183
184,311.82134456143154,184
185,311.82134456143154,185
186,311.82134456143154,186
187,311.02485615440236,187
188,311.02485615440236,188
189,311.2521296140756,189
190,311.02485615440236,190
191,311.02485615440236,191
192,311.02485615440236,192
193,311.82134456143154,193
194,311.02485615440236,194
195,311.02485615440236,195
196,311.02485615440236,196
197,311.02485615440236,197
198,311.02485615440236,198
199,311.02485615440236,199
200,311.02485615440236,200
201,311.02485615440236,201
202,311.02485615440236,202
203,311.02485615440236,203
204,311.02485615440236,204
205,311.02485615440236,205
206,311.02485615440236,206
207,311.02485615440236,207
208,311.02485615440236,208
209,311.02485615440236,209
210,311.02485615440236,210
211,311.02485615440236,211
212,311.02485615440236,212
213,311.02485615440236,213
214,311.02485615440236,214
215,311.02485615440236,215
216,311.02485615440236,216
217,311.02485615440236,217
218,311.02485615440236,218
219,311.02485615440236,219
220,311.02485615440236,220
221,311.02485615440236,221
222,311.02485615440236,222
223,311.02485615440236,223
224,311.02485615440236,224
225,311.02485615440236,225
226,311.02485615440236,226
227,311.02485615440236,227
228,311.02485615440236,228
229,311.02485615440236,229
230,311.02485615440236,230
231,311.02485615440236,231
232,311.02485615440236,232
233,311.02485615440236,233
234,311.02485615440236,234
235,311.02485615440236,235
236,311.02485615440236,236
237,311.02485615440236,237
238,311.02485615440236,238
239,311.02485615440236,239
240,311.02485615440236,240
241,311.02485615440236,241
242,311.02485615440236,242
243,310.8187784256407,243
244,311.02485615440236,244
245,311.02485615440236,245
246,310.8187784256407,246
247,310.8187784256407,247
248,310.8187784256407,248
249,310.8187784256407,249
250,310.8187784256407,250
251,310.8187784256407,251
252,310.8187784256407,252
253,310.8187784256407,253
254,310.8187784256407,254
255,310.8187784256407,255
256,310.8187784256407,256
257,310.8187784256407,257
258,310.8187784256407,258
259,310.8187784256407,259
260,310.8187784256407,260
261,310.8187784256407,261
262,310.8187784256407,262
263,310.8187784256407,263
264,310.8187784256407,264
265,310.8187784256407,265
266,310.8187784256407,266
267,310.8187784256407,267
268,310.12117214865583,268
269,309.91509441989416,269
270,309.91509441989416,270
271,309.91509441989416,271
272,309.91509441989416,272
273,309.91509441989416,273
274,309.91509441989416,274
275,309.91509441989416,275
276,309.91509441989416,276
277,309.91509441989416,277
278,309.91509441989416,278
279,309.91509441989416,279
280,309.91509441989416,280
281,309.6632633916458,281
282,309.6632633916458,282
283,309.6632633916458,283
284,309.91509441989416,284
285,309.5958956204175,285
286,309.3898178916558,286
287,309.5958956204175,287
288,309.3898178916558,288
289,308.39929974858234,289
290,309.91509441989416,290
291,308.39929974858234,291
292,309.91509441989416,292
293,308.08010094910566,293
294,307.21091001981046,294
295,308.39929974858234,295
296,308.39929974858234,296
297,306.810215117739,297
298,309.3898178916558,298
299,308.9723007065215,299
300,308.39929974858234,300
301,306.810215117739,301
302,306.810215117739,302
303,306.810215117739,303
304,306.810215117739,304
305,307.0162928465007,305
306,306.810215117739,306
307,306.810215117739,307
308,306.810215117739,308
309,306.810215117739,309
310,306.810215117739,310
311,306.810215117739,311
312,306.810215117739,312
313,306.810215117739,313
314,306.810215117739,314
315,306.810215117739,315
316,306.810215117739,316
317,306.810215117739,317
318,306.810215117739,318
319,306.810215117739,319
320,306.810215117739,320
321,306.810215117739,321
322,306.810215117739,322
323,306.810215117739,323
324,306.810215117739,324
325,306.810215117739,325
326,306.810215117739,326
327,306.810215117739,327
328,306.810215117739,328
329,306.810215117739,329
330,306.810215117739,330
331,306.810215117739,331
332,306.810215117739,332
333,306.810215117739,333
334,306.810215117739,334
335,306.810215117739,335
336,306.810215117739,336
337,306.810215117739,337
338,306.810215117739,338
339,306.810215117739,339
340,306.810215117739,340
341,306.810215117739,341
342,306.810215117739,342
343,306.810215117739,343
344,306.810215117739,344
345,306.810215117739,345
346,306.810215117739,346
347,306.810215117739,347
348,306.810215117739,348
349,306.810215117739,349
350,306.810215117739,350
351,306.810215117739,351
352,306.810215117739,352
353,306.810215117739,353
354,306.810215117739,354
355,306.810215117739,355
356,306.810215117739,356
357,306.810215117739,357
358,306.810215117739,358
359,306.810215117739,359
360,306.810215117739,360
361,306.810215117739,361
362,306.810215117739,362
363,306.810215117739,363
364,306.810215117739,364
365,306.810215117739,365
366,306.810215117739,366
367,306.810215117739,367
368,306.810215117739,368
369,306.42575536446896,369
370,306.810215117739,370
371,306.42575536446896,371
372,306.42575536446896,372
373,306.42575536446896,373
374,306.42575536446896,374
375,306.42575536446896,375
376,306.42575536446896,376
377,306.42575536446896,377
378,306.42575536446896,378
379,306.42575536446896,379
380,306.42575536446896,380
381,306.42575536446896,381
382,306.42575536446896,382
383,306.42575536446896,383
384,306.42575536446896,384
385,306.42575536446896,385
386,306.42575536446896,386
387,306.42575536446896,387
388,306.42575536446896,388
389,306.42575536446896,389
