,Distance,Iteration
0,492.7365903378723,0
1,498.1108079940358,1
2,484.0901733580994,2
3,504.57588465067147,3
4,494.61757237305346,4
5,484.6881401856218,5
6,490.3005992165926,6
7,461.554960424346,7
8,482.0371075823093,8
9,456.33073728270676,9
10,474.4839730405026,10
11,466.31659786856426,11
12,473.8988711337707,12
13,471.95824106555955,13
14,457.9365367194759,14
15,454.173310377828,15
16,457.1026573968063,16
17,447.1610633612941,17
18,442.43921547955733,18
19,434.02413460154514,19
20,456.36027175997395,20
21,442.9489722589377,21
22,444.7953350443404,22
23,448.6328781917801,23
24,442.2295167089377,24
25,422.6833059705438,25
26,424.7425927345142,26
27,441.0956641713558,27
28,426.129669194131,28
29,379.4973121661386,29
30,393.0013703106379,30
31,424.5058109659666,31
32,399.32741797401764,32
33,408.8319007781335,33
34,385.84008194377975,34
35,415.46397110864774,35
36,368.8491957117042,36
37,364.3129511404742,37
38,380.2326673076589,38
39,391.7920784966067,39
40,362.66273362435794,40
41,377.3890201420843,41
42,353.641676504261,42
43,360.856094948557,43
44,349.6853079568991,44
45,357.7209267595607,45
46,345.0607121612463,46
47,346.7903860283165,47
48,331.50799856719766,48
49,335.68757923540215,49
50,335.4231189404488,50
51,323.0549776260648,51
52,297.1085355683325,52
53,320.6846919547118,53
54,305.10808353374847,54
55,301.17741317708914,55
56,318.0697693319574,56
57,330.7540926523805,57
58,300.09515078742186,58
59,297.2329779261311,59
60,304.93007168618584,60
61,311.6347447739118,61
62,303.737662673348,62
63,275.6754466060966,63
64,271.7307137935828,64
65,301.8089911996923,65
66,286.5221609342166,66
67,275.3509752949813,67
68,250.22545417814797,68
69,265.2065181481275,69
70,268.34755676149786,70
71,280.86441175827986,71
72,237.0374878323251,72
73,264.6557646666255,73
74,267.4492421851797,74
75,257.376468610539,75
76,251.6415963949385,76
77,256.9979916266189,77
78,259.6768677867056,78
79,251.00488368534423,79
80,268.17974295645234,80
81,251.8427638737293,81
82,245.3637787124504,82
83,221.68725031374862,83
84,235.83735065473817,84
85,223.09468012631612,85
86,254.79691616055027,86
87,239.94131055951746,87
88,233.78778886088472,88
89,227.41572814574272,89
90,242.46473899324116,90
91,238.49141890290062,91
92,233.9616609716125,92
93,231.80954659520432,93
94,231.59583494084106,94
95,223.5649227296431,95
96,231.63117082324177,96
97,233.1825976845586,97
98,222.67116854811425,98
99,224.42589743182123,99
100,219.21876800483352,100
101,235.13596857030024,101
102,221.77338329309188,102
103,218.8723867967678,103
104,222.69089001141361,104
105,219.21876800483352,105
106,215.83715961780229,106
107,218.80543403802486,107
108,219.21876800483352,108
109,221.68725031374862,109
110,223.29773850378558,110
111,222.99893658667958,111
112,216.93782334112228,112
113,215.87956297624748,113
114,217.30905782685386,114
115,215.83715961780229,115
116,214.58447775045036,116
117,215.83715961780229,117
118,212.54779653480213,118
119,217.03946771581903,119
120,209.06338665003466,120
121,215.6264614665462,121
122,212.50539317635693,122
123,217.1348848126857,123
124,209.02098329158946,124
125,210.12164701490946,125
126,208.02439919172593,126
127,212.4025916786207,127
128,215.83715961780229,128
129,209.4115279072828,129
130,208.06680255017113,130
131,212.4025916786207,131
132,208.02439919172593,132
133,208.02439919172593,133
134,208.06680255017113,134
135,212.93707697915463,135
136,208.02439919172593,136
137,208.02439919172593,137
138,208.02439919172593,138
139,208.02439919172593,139
140,208.02439919172593,140
141,208.81028514033338,141
142,208.02439919172593,142
143,208.02439919172593,143
